_id,Category,Topic,Special,Characteristic,Agincourt North,Agincourt South-Malvern West,Alderwood,Annex,Banbury-Don Mills,Bathurst Manor,Bay Street Corridor,Bayview Village,Bayview Woods-Steeles,Bedford Park-Nortown,Beechborough-Greenbrook,Bendale,Birchcliffe-Cliffside,Black Creek,Blake-Jones,Briar Hill-Belgravia,Bridle Path-Sunnybrook-York Mills,Broadview North,Brookhaven-Amesbury,Cabbagetown-South St. James Town,Caledonia-Fairbank,Casa Loma,Centennial Scarborough,Church-Yonge Corridor,Clairlea-Birchmount,Clanton Park,Cliffcrest,Corso Italia-Davenport,Danforth,Danforth East York,Don Valley Village,Dorset Park,Dovercourt-Wallace Emerson-Junction,Downsview-Roding-CFB,Dufferin Grove,East End-Danforth,Edenbridge-Humber Valley,Eglinton East,Elms-Old Rexdale,Englemount-Lawrence,Eringate-Centennial-West Deane,Etobicoke West Mall,Flemingdon Park,Forest Hill North,Forest Hill South,Glenfield-Jane Heights,Greenwood-Coxwell,Guildwood,Henry Farm,High Park North,High Park-Swansea,Highland Creek,Hillcrest Village,Humber Heights-Westmount,Humber Summit,Humbermede,Humewood-Cedarvale,Ionview,Islington-City Centre West,Junction Area,Keelesdale-Eglinton West,Kennedy Park,Kensington-Chinatown,Kingsview Village-The Westway,Kingsway South,Lambton Baby Point,L'Amoreaux,Lansing-Westgate,Lawrence Park North,Lawrence Park South,Leaside-Bennington,Little Portugal,Long Branch,Malvern,Maple Leaf,Markland Wood,Milliken,Mimico (includes Humber Bay Shores),Morningside,Moss Park,Mount Dennis,Mount Olive-Silverstone-Jamestown,Mount Pleasant East,Mount Pleasant West,New Toronto,Newtonbrook East,Newtonbrook West,Niagara,North Riverdale,North St. James Town,Oakridge,Oakwood Village,O'Connor-Parkview,Old East York,Palmerston-Little Italy,Parkwoods-Donalda,Pelmo Park-Humberlea,Playter Estates-Danforth,Pleasant View,Princess-Rosethorn,Regent Park,Rexdale-Kipling,Rockcliffe-Smythe,Roncesvalles,Rosedale-Moore Park,Rouge,Runnymede-Bloor West Village,Rustic,Scarborough Village,South Parkdale,South Riverdale,St.Andrew-Windfields,Steeles,Stonegate-Queensway,Tam O'Shanter-Sullivan,Taylor-Massey,The Beaches,Thistletown-Beaumond Heights,Thorncliffe Park,Trinity-Bellwoods,University,Victoria Village,Waterfront Communities-The Island,West Hill,West Humber-Clairville,Westminster-Branson,Weston,Weston-Pelham Park,Wexford/Maryvale,Willowdale East,Willowdale West,Willowridge-Martingrove-Richview,Woburn,Woodbine Corridor,Woodbine-Lumsden,Wychwood,Yonge-Eglinton,Yonge-St.Clair,York University Heights,Yorkdale-Glen Park
2331,Income,Income sources,,      Basic Canada Child Tax Benefit (CCTB): Average amount ($),1933,1876,1524,1286,1594,1574,1521,1615,1706,1933,2123,2108,1573,2499,2107,1596,1470,1881,2044,1623,1629,1412,1647,1541,1826,1712,1666,1436,1594,1535,1827,2038,1661,1836,1694,1516,1697,2094,2447,2678,1681,1857,2380,1662,1421,2335,1595,1510,1906,1292,1457,1785,1615,1827,2295,2139,1459,1941,1618,1347,1786,2009,1947,2440,1009,1965,1954,1494,1212,1224,1318,1724,1517,2242,1834,1433,2057,1445,2112,2367,2038,2452,1375,1394,1699,1510,1612,1396,1346,2180,2449,1681,1795,1531,1385,1975,1553,1126,1756,1383,2441,1884,2005,1590,1221,1888,1128,2383,2279,1714,1661,1661,1886,1466,1932,2138,1338,2112,2781,1630,974,1922,1508,2131,2024,1774,2106,1878,1972,1484,1377,1926,2163,1444,1323,1366,1178,1266,2066,1841
2318,Income,Income sources,,      CPP/QPP - Survivor benefits: Aggregate amount ($'000),2065,2076,2414,3001,4990,2173,1312,2020,1613,2752,713,3174,2816,1769,519,1689,970,1103,2123,878,1330,1559,1609,1440,2251,1902,2423,2165,1384,2454,2175,2233,3914,5087,1159,1741,2578,2292,1180,2658,3346,1637,1334,1140,1093,3647,1053,2000,598,2367,2367,992,1557,2284,2383,1386,996,1237,5127,1030,2111,1900,1473,2953,1208,716,3810,1468,1183,1321,1546,1541,1211,2259,2012,2446,1076,3733,1427,738,1121,1957,1612,1941,1295,1478,2614,831,787,510,689,2780,1932,1488,1850,3720,1542,730,2030,1736,364,1478,3147,1178,3058,3108,1068,1710,1281,836,1530,1689,1709,3646,3213,1026,1855,1343,803,2403,621,2333,2663,2843,3131,2591,2127,1516,3912,2781,1857,4787,4839,969,924,1642,1405,1743,2444,2787
2076,Income,Income sources,,      Working income tax benefit (WITB): Aggregate amount ($'000),2274,1649,343,894,771,698,576,886,504,537,284,1627,671,1422,366,735,138,464,1017,352,381,232,261,1043,1365,687,563,530,338,477,1234,1381,1718,1801,576,739,429,1226,550,1077,611,568,1331,452,174,1982,536,234,810,656,578,508,633,412,851,942,515,695,1419,498,565,964,977,1255,60,238,2793,643,172,161,217,644,363,2685,514,304,2565,1211,761,852,790,2150,344,869,514,834,1641,868,308,1150,1026,900,693,372,446,1450,458,255,598,233,902,517,1149,507,368,1903,178,641,844,1011,1088,613,1879,757,1312,883,490,544,1829,829,167,830,1690,1288,1551,1740,902,568,1207,2155,692,923,3004,358,212,430,317,306,1527,614
2333,Income,Income sources,,      National Child Benefit Supplement (NCBS): Average amount ($),2601,2429,2106,1748,2172,2153,2242,2399,2603,2485,2911,2940,2445,3391,3240,2071,1971,2658,2798,2107,2162,2077,2375,2435,2810,2394,2608,2000,2408,2314,2536,2870,2298,2512,2388,2684,2179,2821,3321,3419,2540,2635,3110,2107,1636,3360,2688,2251,2786,1826,2470,2694,2409,2834,3338,2993,2112,2626,2457,2039,2528,2788,2797,3650,0,3202,2686,2168,2224,708,2019,2494,2364,2991,2441,2476,2734,2119,3021,3485,2830,3287,2130,2144,2515,2103,2163,2325,1991,2903,3441,2679,2644,2523,1900,2855,2283,1715,2378,2239,3614,2687,3174,2300,1762,2493,1663,3390,3161,2533,2506,2298,2520,2256,2886,3008,1981,2714,3817,2457,586,2817,2370,3184,2673,2313,3069,2920,2786,2196,1724,2849,2952,2815,2211,2165,2113,1557,2885,2549
2340,Income,Income sources,,      Provincial and territorial child benefits: Aggregate amount ($'000),3036,2110,511,367,1100,884,673,1132,915,928,1008,3358,1175,4849,856,882,103,802,2721,243,655,239,636,550,2779,995,1261,633,363,881,2465,3000,2007,3700,482,1339,668,3603,1683,3151,1048,1036,3793,623,121,5934,1009,388,1557,571,894,798,1059,789,1940,2403,497,1486,2251,478,1073,2198,1137,3804,0,809,4546,601,209,109,264,576,519,6590,825,343,3085,1231,2305,1245,2029,6792,346,781,913,705,1611,717,268,1971,3112,1582,1707,446,236,3485,779,115,1128,272,2037,1061,2479,673,226,4084,173,1962,3187,1373,1590,1007,2347,998,2536,2489,536,1321,5151,653,26,1870,1333,4063,3355,2369,2439,1082,2888,2725,452,1837,7986,725,365,450,280,149,3238,1215
2317,Income,Income sources,,      CPP/QPP - Survivor benefits: Average amount ($),3202,3674,3685,3847,3838,3747,3016,3848,3360,3931,3753,3431,3610,3538,3579,3672,3345,3244,4006,3136,3912,3584,3536,3388,3385,4180,3699,4163,3741,3958,3508,3544,3856,4136,3997,3517,3606,3499,4069,3770,3522,3852,3139,3508,3312,3541,3569,3361,3147,3757,3586,2961,2994,3714,4109,3797,3434,3693,3573,3492,4640,3455,3386,3714,3221,3672,3357,4135,3756,3669,3514,4055,3510,3227,3692,3763,2795,3624,3207,3690,4004,3433,3980,3376,3866,3941,3961,3196,3212,3091,3626,3915,3826,4022,3814,3493,3807,3842,3725,3901,3165,3561,3746,3862,3997,3155,4188,4222,3327,3096,3122,3447,3165,3664,3455,3310,3567,3950,3088,4073,4140,3482,3458,3405,3662,3301,4130,4153,3762,3311,3606,3860,3532,3524,3554,3690,4323,3418,3491,4099
2288,Income,Income sources,,    Investment income: Average amount ($),3646,4380,4820,44538,20893,10273,17050,14638,11674,41765,5056,2951,5741,1613,5666,3032,104514,4268,8529,12999,2837,74095,5203,9404,2155,12237,6613,5538,5529,5183,6566,2308,3777,3639,5021,7144,41239,2526,3017,19050,5857,3480,2946,41604,102730,2423,4623,5835,4445,8149,13462,5276,9349,7349,3538,2453,17835,2510,8708,5465,3673,2236,8336,5895,33859,20200,3809,25306,15647,49089,21732,6269,6802,1373,5030,13559,3236,9920,2616,9866,2113,2088,16527,10500,5417,17177,9512,8224,12709,4351,2170,4567,6737,5649,25245,7846,3073,15057,4170,28408,5988,2347,2510,7275,69779,3546,8813,6118,5567,4661,5950,33752,5382,11103,4325,3318,19331,3020,6004,7952,11686,4542,10334,3032,2636,6938,2528,2438,3330,9798,9440,6753,3124,4620,3920,13250,18420,43565,3117,5339
2303,Income,Income sources,,      Old Age Security pension (OAS): Average amount ($),4412,5035,6138,5769,5720,5492,5591,5399,5576,5734,5775,5467,6186,5205,5551,5680,5542,6121,5730,5552,5835,5670,5952,5691,5741,5774,5926,6241,5871,6082,5386,5109,5781,5971,5720,5928,5955,5386,5889,5591,5941,5994,5150,5916,5562,5476,5522,6196,5018,5998,6115,5507,4687,6171,5945,5481,5762,5528,5724,5526,5751,5313,4839,5842,5854,5719,4977,5663,5827,5603,6033,6081,5946,4694,6278,6057,4218,5685,5503,5469,5508,4912,5837,5768,5550,4905,5343,5604,6060,5167,5190,5871,6131,6192,6141,5655,6194,6019,5878,6046,4615,5822,5749,5591,5697,4972,6328,5832,5516,5341,5408,5613,4409,6101,5196,5570,6097,5674,4974,6029,5837,5568,5642,5712,5201,4658,5757,5718,5785,5010,5206,6022,5276,5629,5945,5966,5988,5698,5575,6100
2350,Income,Income sources,,      Goods and services tax (GST) credit and harmonized sales tax (HST) credit: Aggregate amount ($'000),4606,3475,1150,3088,2434,1947,3226,2421,1535,1596,1093,4098,2230,4142,948,2066,445,1623,2885,1308,1285,920,1038,3973,3322,1835,1751,1725,1017,1693,3486,3657,5198,5280,1644,2250,1486,3677,1476,2952,1853,1578,3519,1294,773,5528,1807,860,2094,2285,2057,1450,2195,1199,1973,2398,1634,1998,4736,1534,1655,2689,3154,3165,419,778,6848,1587,707,805,920,2120,1209,6834,1410,957,4360,3749,2496,2650,2216,5484,1201,3318,1562,2118,3443,3165,1005,3141,2434,2966,2361,960,1840,4328,1256,748,1968,702,1947,1421,3362,1784,1281,5533,628,1753,2625,3638,3274,1595,3798,2236,3923,2425,1447,1539,3131,2291,867,2532,7149,4106,4603,4188,2855,1640,3785,6023,2061,2639,8114,1231,842,1642,970,1045,4426,1969
2326,Income,Income sources,,      EI - Other benefits: Aggregate amount ($'000),4829,3492,2674,2752,3385,2679,1842,2570,435,3643,970,3981,3651,3201,1236,2308,561,1857,2639,1284,1884,1403,2439,2598,5514,3051,2660,3605,1776,4717,2749,5352,7094,5804,1784,5962,1688,3584,1224,3454,3056,2080,3554,2137,425,4189,3867,1809,2209,4523,3765,1745,1671,1372,1420,3135,1989,1731,8142,3473,2413,2394,1031,3716,935,1746,7506,2732,2372,1515,1988,2032,2138,6960,1726,845,3738,4920,3029,1932,2748,5735,4093,4150,1772,194,3867,4519,2759,3100,2304,4522,3573,2333,927,4634,1673,1005,1804,910,2071,1827,4248,2701,1919,8970,2885,1841,2349,3098,6506,1299,4101,5533,4053,2747,4977,1956,2664,2636,283,2814,8933,4430,4871,4254,3441,1812,3947,6746,2314,3513,8531,3696,1668,2469,1984,987,3368,2084
2294,Income,Income sources,,    Market income not included elsewhere: Average amount ($),5048,4997,4780,16105,8901,5924,11122,6654,6567,16864,4320,3942,7288,3952,9981,3872,23919,5902,4245,8826,2834,15054,9391,7927,5080,7538,7599,4501,11415,6352,5550,4703,5006,3402,6644,6461,12831,3407,5438,7214,4635,3822,4039,8655,13145,3755,5584,6420,5857,7153,7451,6289,5125,5430,4574,3634,9584,5107,6627,7030,3341,3850,6901,4116,20978,8234,4034,9913,12672,19713,13875,5803,5522,4487,3168,10487,3844,6652,3583,6373,3027,3225,10383,7756,6315,5536,4853,7521,8522,5929,4723,6720,7978,6203,5600,5974,2972,9492,6878,17865,6720,3643,2991,7486,31354,5778,9277,2870,5453,4495,7406,13940,4162,8434,4980,4510,16957,3069,4742,9222,10216,4783,9245,4008,3582,4917,4119,4496,4381,6130,6453,4433,3832,5749,5169,6757,13903,15007,5682,4220
2337,Income,Income sources,,      Universal Child Care Benefit (UCCB): Aggregate amount ($'000),5149,4139,2298,2620,4332,2806,1488,2907,1829,5251,1446,5803,4307,5942,1805,2262,1471,1728,4288,904,1855,1335,2688,1350,5793,3493,3280,2448,2060,3884,4982,5429,5600,7417,1380,4798,2606,5283,2275,5915,3432,2127,5357,2361,1408,7594,3246,1748,2759,3372,4258,1974,2652,1774,2840,3834,2543,2825,6901,2656,2125,3464,1690,5415,1839,2153,7686,2898,3903,2957,3768,1777,1788,10210,1942,1634,4824,4174,3754,1735,3125,8918,3599,2754,2138,1895,3432,2477,2402,2815,3725,4109,3754,1867,1432,6966,2276,1399,2515,2179,2181,2136,4406,2777,2811,10183,2458,2521,4263,2511,5046,2969,4048,4994,4716,3643,4415,2186,6546,2014,499,3269,4186,6031,6621,4458,3843,2116,5438,6682,2248,4462,12157,2905,1490,2266,1958,1332,5222,2504
2334,Income,Income sources,,      National Child Benefit Supplement (NCBS): Aggregate amount ($'000),5162,3632,874,699,1890,1615,1132,1967,1588,1466,1790,5484,2054,8002,1377,1595,207,1382,4588,432,1124,405,1057,974,4707,1700,2152,1040,602,1504,4286,5037,3447,6444,776,2442,1166,6037,2707,4855,1765,1871,6143,1085,229,10062,1855,664,2633,968,1507,1401,1819,1403,3204,4100,866,2573,3943,846,1833,3819,1972,6314,0,1361,7856,1095,378,138,535,1010,993,10976,1440,619,5263,2299,3897,2091,3467,11158,671,1501,1597,1283,2769,1279,448,3353,5317,2786,2975,820,399,6010,1404,223,1831,459,3415,1760,4333,1173,370,6756,316,3390,5327,2470,2744,1712,3994,1726,4387,4226,921,2239,8244,1130,41,3254,2382,6862,5706,4291,4112,1825,4876,4755,845,3134,13283,1295,619,812,486,288,5539,2039
2313,Income,Income sources,,      CPP/QPP - Retirement benefits: Average amount ($),5350,5691,7298,8004,7617,6743,7863,7314,7394,8320,6351,6582,7297,5596,5720,6530,8411,7039,6382,7167,6003,8448,7587,7489,6760,6941,7118,6337,6481,6422,6490,5559,5871,6595,5517,6809,7761,6025,6692,6652,7660,6800,5473,7799,8720,6041,5442,7900,6253,7461,7724,7464,6442,7256,6398,5973,7106,6282,7088,6628,5742,5793,4942,7184,8505,7232,5973,7513,8144,8444,8480,5989,7121,5549,7205,7771,5261,7084,6616,5821,5814,5733,7708,7516,6234,6163,6041,6394,7574,5628,5602,6068,7147,7131,6648,6977,6959,6989,6842,8095,4195,6465,6133,5954,8615,6376,7283,6356,6503,5684,5626,8135,5745,7640,6027,6196,7901,6993,6168,6310,7432,6251,6998,6420,6051,5373,5965,5518,6663,6373,6808,7333,6109,6016,6428,6564,8148,8607,6627,6593
2332,Income,Income sources,,      Basic Canada Child Tax Benefit (CCTB): Aggregate amount ($'000),5402,4100,1364,1003,2478,1999,1027,2132,1689,2039,1603,6165,2588,7185,1359,2131,316,1448,4680,487,1596,459,1639,948,5323,2320,2583,1616,853,1995,4650,5736,4243,7104,991,2555,1561,6115,2716,5530,2379,2033,6080,1296,405,9198,1874,1027,2640,1434,1829,1723,2294,1516,3248,4193,1138,2931,4556,1273,2107,3897,1733,5880,227,1287,8286,1277,630,551,850,1138,1191,11918,1660,824,5307,2710,4065,1728,3496,11023,942,1742,1572,1367,3160,1361,767,3172,4409,3160,3096,1003,658,6546,1809,321,2344,650,2746,1997,4391,1503,592,9327,598,2883,4911,2339,2890,2001,4243,2294,4598,3924,1224,2418,7481,1263,112,3162,2609,6701,6973,4638,3959,2047,5423,4779,1150,3611,13657,1401,860,1127,583,386,5681,2237
2323,Income,Income sources,,      EI - Regular benefits: Average amount ($),5580,6192,5996,5757,7146,5628,6332,6680,6288,6468,5611,5501,6979,6400,4606,5805,6185,6600,5630,6106,6263,5692,6243,5843,5755,6899,6429,6186,6117,6443,6946,5440,5652,6411,6400,5476,6243,6617,6277,5064,5734,5603,6264,6130,6427,6078,5954,6396,5889,6401,6086,6195,5758,6468,6255,6236,6504,5279,6254,5566,5366,6072,5719,6267,5832,7813,5697,6200,6114,5428,5937,6234,6663,6011,5559,4975,6397,6064,5771,6228,6387,6218,6732,5709,5826,6168,6127,6180,6529,6235,5590,5924,6505,7086,5728,6958,5802,6154,5994,6424,5755,6375,5878,6014,6680,5663,8117,5929,5600,6379,5492,6328,5267,5863,6209,5760,6015,7293,6680,6065,5743,5845,6094,6165,5936,6913,6182,5610,6031,6151,5827,5832,5821,6012,5874,6501,5857,6859,5806,6432
